#NAME	H800_swab_1_S1	H800_swab_2_S1	H801_swab_1_S1	H802_swab_1_S1	H802_swab_2_S1	H803_swab_1_S1	H803_swab_2_S1	H804_swab_1_S1	H804_swab_4_S1	H805_swab_1_S1	H805_swab_2_S1	H806_swab_1_S1	H806_swab_2_S1	H807_swab_1_S1	H807_swab_2_S1	H809_swab_1_S1	H809_swab_2_S1	H810_swab_1_S1	H813_swab_3_S1	H813_swab_4_S1	H814_chip_2_S1	H814_chip_S1	H815_chip_S1	H817_chip_S1	H817_swab_1_S1	H817_swab_2_S1	H818_swab_1_S1	H818_swab_2_S1	H819_swab_1_S1	H819_swab_2_S1	H820_swab_1_S1	H820_swab_2_S1	H821_chip_S1	H821_swab_1_S1	H821_swab_2_S1	H822_swab_1_S1	H822_swab_2_S1	H823_chip_S1	H823_swab_1_S1	H825_swab_1_S1	H825_swab_2_S1	H827_chip_S1	H827_swab_1_S1	H827_swab_2_S1	H831_chip_2_S1	H831_chip_S1	H831_swab_1_S1	H831_swab_2_S1	H833_swab_1_S1	H834_swab_1_S1	H834_swab_2_S1	H835_chip_2_S1	H835_chip_S1	H837_swab_1_S1	H837_swab_2_S1	H838_chip_S1	H840_chip_S1	H840_swab_1_S1	H840_swab_2_S1	H841_chip_S1	H841_swab_1_S1	H841_swab_2_S1
o__Botryosphaeriales	406	4903	1209	10137	6115	899	758	7154	1902	2678	1196	1155	277	2988	2310	8755	5700	265	7635	13410	32	71	213	84	12534	5594	11578	5017	9996	6272	12719	18849	87	11901	3568	5605	2604	0	5356	4981	5990	30	17546	7826	366	4	7912	1004	1046	4853	6328	5	21	375	312	9	160	2486	301	32	379	215
o__Synergistales	83	102	79	45	80	57	89	82	40	468	231	380	275	526	458	15	26	35	77	148	142	1024	340	49	78	84	154	61	40	94	209	22	562	25	393	68	37	27	91	282	103	145	174	34	14	3	287	406	225	126	161	235	632	50	78	392	200	47	108	237	153	143
o__Xylonales	6	59	20	452	224	40	11	265	403	44	5	6	7	110	35	125	78	3	151	177	1	3	14	5	299	279	199	176	356	259	229	274	2	139	87	182	120	0	230	86	210	2	427	195	16	0	81	30	18	262	317	2	0	4	4	0	3	26	2	0	6	1
o__Coliiformes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Caldisericales	3	6	3	0	3	1	0	3	1	3	1	25	22	23	21	0	3	0	4	11	5	22	21	12	3	1	2	0	0	0	3	0	39	0	2	3	0	0	6	7	2	5	3	2	3	0	5	9	5	39	36	4	28	7	0	92	11	2	6	14	12	12
o__Sphenodontia	0	0	0	0	1	0	0	1	2	0	3	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	3	0	0	0	2	0	0	0	2	1	3	0	1	0	2	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	1	0
o__Bangiales	6	18	12	19	12	6	2	13	13	11	43	35	4	10	8	14	4	1	31	12	13	112	33	3	20	32	17	17	8	8	7	19	50	9	5	11	14	0	16	16	9	5	14	2	1	0	14	2	23	2	10	2	21	4	5	6	4	6	10	6	13	13
o__Equisetales	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
o__Rosales	87	217	386	383	2221	193	95	1069	174	333	4399	1389	164	183	215	187	152	404	435	899	67	64	141	15	354	1134	270	378	1391	428	360	780	81	461	860	1453	959	4	1233	525	558	20	180	108	35	0	72	173	1798	138	173	24	61	58	133	54	22	138	104	59	94	115
o__Thermoleophilales	78	356	180	911	1576	339	82	3916	153	259	70	833	496	332	123	102	91	55	606	1179	8795	81670	21376	463	209	1610	67	205	44	91	97	303	6825	217	537	1081	857	1731	2458	3474	1376	2624	46	64	95	27	251	500	24	2688	7508	15457	39780	148	300	7367	1908	103	95	2432	217	188
