#NAME	H800_swab_1_S1	H800_swab_2_S1	H801_swab_1_S1	H802_swab_1_S1	H802_swab_2_S1	H803_swab_1_S1	H803_swab_2_S1	H804_swab_1_S1	H804_swab_4_S1	H805_swab_1_S1	H805_swab_2_S1	H806_swab_1_S1	H806_swab_2_S1	H807_swab_1_S1	H807_swab_2_S1	H809_swab_1_S1	H809_swab_2_S1	H810_swab_1_S1	H813_swab_3_S1	H813_swab_4_S1	H814_chip_2_S1	H814_chip_S1	H815_chip_S1	H817_chip_S1	H817_swab_1_S1	H817_swab_2_S1	H818_swab_1_S1	H818_swab_2_S1	H819_swab_1_S1	H819_swab_2_S1	H820_swab_1_S1	H820_swab_2_S1	H821_chip_S1	H821_swab_1_S1	H821_swab_2_S1	H822_swab_1_S1	H822_swab_2_S1	H823_chip_S1	H823_swab_1_S1	H825_swab_1_S1	H825_swab_2_S1	H827_chip_S1	H827_swab_1_S1	H827_swab_2_S1	H831_chip_2_S1	H831_chip_S1	H831_swab_1_S1	H831_swab_2_S1	H833_swab_1_S1	H834_swab_1_S1	H834_swab_2_S1	H835_chip_2_S1	H835_chip_S1	H837_swab_1_S1	H837_swab_2_S1	H838_chip_S1	H840_chip_S1	H840_swab_1_S1	H840_swab_2_S1	H841_chip_S1	H841_swab_1_S1	H841_swab_2_S1
g__Telopea	0	2	4	23	82	7	2	72	4	32	5	4	2	10	13	9	42	0	22	63	0	0	0	0	27	182	46	57	37	30	49	97	2	37	62	243	72	0	1094	111	121	0	10	22	2	0	28	20	0	4	28	0	0	20	3	0	0	4	21	0	2	2
g__Cistanche	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Paracyclopina	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Thiomicrorhabdus	10	22	4	2	0	19	1	2	5	30	105	148	4	13	1	0	16	14	1	3	5	112	3	1	6	6	2	3	1	3	3	0	1	4	5	4	4	5	2	5	2	0	0	2	4	0	0	12	2	0	0	5	26	0	0	3	3	11	21	4	97	40
g__Murdochiella	0	0	0	0	2	0	2	0	0	1	0	0	0	0	4	0	0	0	2	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	21	0	0	0	0	2	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2	1	0
g__Bison	0	0	0	0	7	8	0	2	0	0	0	0	0	0	0	2	0	0	2	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
g__Kazachstania	1	4	0	35	23	4	3	18	3	1	4	2	2	4	2	8	2	1	6	4	0	0	1	0	17	14	5	8	16	1	6	2	0	3	0	4	2	0	1	4	7	0	8	4	1	0	1	5	0	6	17	1	6	0	0	0	0	0	1	2	0	0
g__Cnuella	20	81	10	16	53	10	2	92	16	64	209	28	5	12	14	9	5	6	18	19	1	13	61	1	9	44	14	5	0	15	2	13	29	7	0	65	45	0	76	31	24	47	6	11	26	0	5	6	7	11	12	1	10	16	2	56	11	5	98	23	156	165
g__Porcisia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	4	0	0	0	0	0	0	0	0	0
g__Limnobaculum	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1
g__Porella	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Laspinema	3	6	2	7	1	2	0	4	0	15	5	4	4	5	4	0	6	0	0	7	0	8	3	0	4	7	2	2	6	5	0	5	5	9	3	7	35	0	21	81	1	10	1	0	2	0	2	0	0	5	2	0	0	0	4	9	0	2	13	44	26	9
g__Koliella	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Isoalcanivorax	0	3	1	2	2	0	0	1	0	2	12	26	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	0	0
