#NAME	H800_swab_1_S1	H800_swab_2_S1	H801_swab_1_S1	H802_swab_1_S1	H802_swab_2_S1	H803_swab_1_S1	H803_swab_2_S1	H804_swab_1_S1	H804_swab_4_S1	H805_swab_1_S1	H805_swab_2_S1	H806_swab_1_S1	H806_swab_2_S1	H807_swab_1_S1	H807_swab_2_S1	H809_swab_1_S1	H809_swab_2_S1	H810_swab_1_S1	H813_swab_3_S1	H813_swab_4_S1	H814_chip_2_S1	H814_chip_S1	H815_chip_S1	H817_chip_S1	H817_swab_1_S1	H817_swab_2_S1	H818_swab_1_S1	H818_swab_2_S1	H819_swab_1_S1	H819_swab_2_S1	H820_swab_1_S1	H820_swab_2_S1	H821_chip_S1	H821_swab_1_S1	H821_swab_2_S1	H822_swab_1_S1	H822_swab_2_S1	H823_chip_S1	H823_swab_1_S1	H825_swab_1_S1	H825_swab_2_S1	H827_chip_S1	H827_swab_1_S1	H827_swab_2_S1	H831_chip_2_S1	H831_chip_S1	H831_swab_1_S1	H831_swab_2_S1	H833_swab_1_S1	H834_swab_1_S1	H834_swab_2_S1	H835_chip_2_S1	H835_chip_S1	H837_swab_1_S1	H837_swab_2_S1	H838_chip_S1	H840_chip_S1	H840_swab_1_S1	H840_swab_2_S1	H841_chip_S1	H841_swab_1_S1	H841_swab_2_S1
f__Rhynchomonadidae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
f__Neocallimastigaceae	22	94	11	196	94	52	20	24	101	58	93	12	16	43	32	163	38	15	162	151	3	26	3	5	137	111	69	60	127	59	121	52	6	111	48	45	37	0	52	92	38	0	77	67	15	0	52	104	69	13	26	3	11	1	2	5	6	41	15	2	3	24
f__Coprobacillaceae	8	6	5	6	7	7	13	8	4	52	22	26	20	42	58	0	2	7	12	10	7	13	16	3	1	19	15	1	1	0	8	4	6	7	24	1	4	2	6	16	9	3	64	0	8	0	28	51	29	1	4	4	0	1	6	3	4	5	25	0	35	34
f__Leuciscidae	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	8	1	0	0	0	0	0	0	0	0	1	0	0
f__Procellariidae	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f__Zooshikellaceae	1	18	14	5	6	0	18	5	3	19	13	43	23	18	29	3	19	8	10	23	3	3	5	1	10	6	3	0	1	6	5	4	6	2	20	8	4	0	6	44	1	0	32	2	0	0	6	11	61	0	2	0	3	0	0	12	4	6	29	11	47	23
f__Balaenopteridae	0	0	0	0	41	16	0	2	2	0	0	2	0	0	2	3	4	3	2	25	31	0	8	9	0	2	6	0	0	1	2	8	1	25	3	5	3	0	6	2	4	0	3	0	16	0	1	1	0	1	2	0	0	4	2	2	2	0	0	0	3	2
f__Bartonellaceae	440	83	562	14	92	11	26	34	42	128	312	202	333	49	498	7	212	49	317	21	6	41	121	1	11	21	14	100	5	107	6	11	7	28	11	9	10	2	25	16	12	1	11	50	32	0	5	8	97	10	6	0	27	1	2	11	0	35	131	8	272	486
f__Jatrophihabitantaceae	34	49	29	177	201	124	47	187	326	54	88	25	15	78	62	11	36	24	125	107	205	296	34208	111	90	424	4	31	20	35	20	34	310	40	84	167	105	20	333	75	72	45	3	15	6	0	32	46	10	71	94	70	275	14	42	261	36	19	20	10	17	6
f__Strongyloididae	10116	4212	10477	209	476	307	219	1341	1918	1109	4636	4869	1945	850	339	76	370	2944	484	569	258	586	957	59	156	624	173	102	130	814	122	222	220	346	1266	428	334	19	546	327	168	62	48	618	935	1	128	113	3469	126	128	113	431	83	140	119	62	979	2481	124	8976	7489
f__Atopobiaceae	14	6	15	17	135	42	16	25	66	66	76	45	62	39	34	4	15	4	8	405	41	116	103	2	20	29	33	8	5	2	39	7	16	5	61	21	21	4	42	24	12	23	4	2	34	0	63	114	37	46	84	20	66	10	30	131	8	6	63	44	87	53
f__Picocystaceae	0	15	2	3	2	1	1	2	11	9	5	4	0	0	0	10	0	1	2	6	0	3	3	0	3	3	1	2	14	0	8	4	0	2	0	5	5	0	9	1	0	0	1	2	0	0	3	6	3	4	1	2	4	3	0	1	0	5	0	0	0	0
f__Totiviridae	0	0	0	0	0	0	0	0	0	0	0	13	3	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	4	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	0
f__Kordiimonadaceae	178	361	242	23	40	19	5	56	138	80	257	191	176	77	23	11	23	104	50	54	14	40	50	21	25	65	12	8	12	24	0	15	34	42	55	33	12	9	61	53	21	14	32	12	25	0	14	20	66	11	13	6	28	8	5	16	19	32	168	31	184	195
f__Zobellviridae	1	2	0	0	3	10	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1
